"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","P31S14_S15B","Private final consumption expenditure by durability","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q1","Q1-1970","USD","US Dollar","6","Millions",,,157921.3,,
"USA","United States","P31S14_S15B","Private final consumption expenditure by durability","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q2","Q2-1970","USD","US Dollar","6","Millions",,,160392.5,,
"USA","United States","P31S14_S15B","Private final consumption expenditure by durability","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q3","Q3-1970","USD","US Dollar","6","Millions",,,163370.5,,
"USA","United States","P31S14_S15B","Private final consumption expenditure by durability","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q4","Q4-1970","USD","US Dollar","6","Millions",,,165040.3,,
"USA","United States","P31S14_S15B","Private final consumption expenditure by durability","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q1","Q1-1971","USD","US Dollar","6","Millions",,,169796.5,,
"USA","United States","P31S14_S15B","Private final consumption expenditure by durability","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q2","Q2-1971","USD","US Dollar","6","Millions",,,173306.3,,
"USA","United States","P31S14_S15B","Private final consumption expenditure by durability","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q3","Q3-1971","USD","US Dollar","6","Millions",,,176399.8,,
"USA","United States","P31S14_S15B","Private final consumption expenditure by durability","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q4","Q4-1971","USD","US Dollar","6","Millions",,,180434.8,,
"USA","United States","P31S14_S15B","Private final consumption expenditure by durability","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1972-Q1","Q1-1972","USD","US Dollar","6","Millions",,,184737,,
"USA","United States","P31S14_S15B","Private final consumption expenditure by durability","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1972-Q2","Q2-1972","USD","US Dollar","6","Millions",,,189341,,
