"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1965-Q4","Q4-1965","USD","US Dollar","6","Millions",,,192964.3,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1966-Q1","Q1-1966","USD","US Dollar","6","Millions",,,198933.5,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1966-Q2","Q2-1966","USD","US Dollar","6","Millions",,,201245.3,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1966-Q3","Q3-1966","USD","US Dollar","6","Millions",,,204909.5,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1966-Q4","Q4-1966","USD","US Dollar","6","Millions",,,208325.5,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1967-Q1","Q1-1967","USD","US Dollar","6","Millions",,,211042.5,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1967-Q2","Q2-1967","USD","US Dollar","6","Millions",,,212245.8,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1967-Q3","Q3-1967","USD","US Dollar","6","Millions",,,216308.3,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1967-Q4","Q4-1967","USD","US Dollar","6","Millions",,,220359.8,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1968-Q1","Q1-1968","USD","US Dollar","6","Millions",,,227346.8,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1968-Q2","Q2-1968","USD","US Dollar","6","Millions",,,233586,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1968-Q3","Q3-1968","USD","US Dollar","6","Millions",,,237706.3,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1968-Q4","Q4-1968","USD","US Dollar","6","Millions",,,242007.5,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1969-Q1","Q1-1969","USD","US Dollar","6","Millions",,,248334.3,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1969-Q2","Q2-1969","USD","US Dollar","6","Millions",,,252255,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1969-Q3","Q3-1969","USD","US Dollar","6","Millions",,,257489,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1969-Q4","Q4-1969","USD","US Dollar","6","Millions",,,259536.8,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q1","Q1-1970","USD","US Dollar","6","Millions",,,262800,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q2","Q2-1970","USD","US Dollar","6","Millions",,,266843.8,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q3","Q3-1970","USD","US Dollar","6","Millions",,,271514.8,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q4","Q4-1970","USD","US Dollar","6","Millions",,,272152,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q1","Q1-1971","USD","US Dollar","6","Millions",,,283789,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q2","Q2-1971","USD","US Dollar","6","Millions",,,289067.8,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q3","Q3-1971","USD","US Dollar","6","Millions",,,294418.8,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q4","Q4-1971","USD","US Dollar","6","Millions",,,297574.3,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1972-Q1","Q1-1972","USD","US Dollar","6","Millions",,,307652.3,,
