"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","Q","1970-Q1",2.12766,
"AUS","CPI","TOT","AGRWTH","Q","1970-Q2",3.191489,
"AUS","CPI","TOT","AGRWTH","Q","1970-Q3",3.157895,
"AUS","CPI","TOT","AGRWTH","Q","1970-Q4",5.263158,
"AUS","CPI","TOT","AGRWTH","Q","1971-Q1",5.208333,
"AUS","CPI","TOT","AGRWTH","Q","1971-Q2",5.154639,
"AUS","CPI","TOT","AGRWTH","Q","1971-Q3",7.142857,
"AUS","CPI","TOT","AGRWTH","Q","1971-Q4",7,
"AUS","CPI","TOT","AGRWTH","Q","1972-Q1",6.930693,
"AUS","CPI","TOT","AGRWTH","Q","1972-Q2",6.862745,
"AUS","CPI","TOT","AGRWTH","Q","1972-Q3",5.714286,
"AUS","CPI","TOT","AGRWTH","Q","1972-Q4",4.672897,
"AUS","CPI","TOT","AGRWTH","Q","1973-Q1",5.555555,
"AUS","CPI","TOT","AGRWTH","Q","1973-Q2",8.256881,
"AUS","CPI","TOT","AGRWTH","Q","1973-Q3",9.90991,
"AUS","CPI","TOT","AGRWTH","Q","1973-Q4",12.5,
"AUS","CPI","TOT","AGRWTH","Q","1974-Q1",14.03509,
"AUS","CPI","TOT","AGRWTH","Q","1974-Q2",14.40678,
"AUS","CPI","TOT","AGRWTH","Q","1974-Q3",16.39344,
"AUS","CPI","TOT","AGRWTH","Q","1974-Q4",16.66667,
"AUS","CPI","TOT","AGRWTH","Q","1975-Q1",17.69231,
"AUS","CPI","TOT","AGRWTH","Q","1975-Q2",17.03704,
"AUS","CPI","TOT","AGRWTH","Q","1975-Q3",11.97183,
"AUS","CPI","TOT","AGRWTH","Q","1975-Q4",14.28571,
"AUS","CPI","TOT","AGRWTH","Q","1976-Q1",13.0719,
"AUS","CPI","TOT","AGRWTH","Q","1976-Q2",12.02532,
"AUS","CPI","TOT","AGRWTH","Q","1976-Q3",13.83648,
"AUS","CPI","TOT","AGRWTH","Q","1976-Q4",14.28571,
"AUS","CPI","TOT","AGRWTH","Q","1977-Q1",13.2948,
"AUS","CPI","TOT","AGRWTH","Q","1977-Q2",13.55932,
"AUS","CPI","TOT","AGRWTH","Q","1977-Q3",13.25967,
"AUS","CPI","TOT","AGRWTH","Q","1977-Q4",9.375,
"AUS","CPI","TOT","AGRWTH","Q","1978-Q1",8.67347,
"AUS","CPI","TOT","AGRWTH","Q","1978-Q2",7.960199,
"AUS","CPI","TOT","AGRWTH","Q","1978-Q3",7.804878,
"AUS","CPI","TOT","AGRWTH","Q","1978-Q4",7.619048,
"AUS","CPI","TOT","AGRWTH","Q","1979-Q1",7.981221,
"AUS","CPI","TOT","AGRWTH","Q","1979-Q2",8.75576,
"AUS","CPI","TOT","AGRWTH","Q","1979-Q3",9.502262,
"AUS","CPI","TOT","AGRWTH","Q","1979-Q4",10.17699,
"AUS","CPI","TOT","AGRWTH","Q","1980-Q1",10.43478,
"AUS","CPI","TOT","AGRWTH","Q","1980-Q2",11.01695,
"AUS","CPI","TOT","AGRWTH","Q","1980-Q3",9.917356,
"AUS","CPI","TOT","AGRWTH","Q","1980-Q4",9.236948,
"AUS","CPI","TOT","AGRWTH","Q","1981-Q1",9.448819,
"AUS","CPI","TOT","AGRWTH","Q","1981-Q2",8.396947,
"AUS","CPI","TOT","AGRWTH","Q","1981-Q3",9.022556,
"AUS","CPI","TOT","AGRWTH","Q","1981-Q4",11.02941,
"AUS","CPI","TOT","AGRWTH","Q","1982-Q1",10.79137,
"AUS","CPI","TOT","AGRWTH","Q","1982-Q2",10.91549,
"AUS","CPI","TOT","AGRWTH","Q","1982-Q3",12.41379,
"AUS","CPI","TOT","AGRWTH","Q","1982-Q4",11.25828,
"AUS","CPI","TOT","AGRWTH","Q","1983-Q1",11.36364,
"AUS","CPI","TOT","AGRWTH","Q","1983-Q2",11.11111,
"AUS","CPI","TOT","AGRWTH","Q","1983-Q3",9.202454,
"AUS","CPI","TOT","AGRWTH","Q","1983-Q4",8.630953,
"AUS","CPI","TOT","AGRWTH","Q","1984-Q1",5.830904,
"AUS","CPI","TOT","AGRWTH","Q","1984-Q2",4,
"AUS","CPI","TOT","AGRWTH","Q","1984-Q3",3.651685,
"AUS","CPI","TOT","AGRWTH","Q","1984-Q4",2.465753,
"AUS","CPI","TOT","AGRWTH","Q","1985-Q1",4.407713,
"AUS","CPI","TOT","AGRWTH","Q","1985-Q2",6.593407,
"AUS","CPI","TOT","AGRWTH","Q","1985-Q3",7.588076,
"AUS","CPI","TOT","AGRWTH","Q","1985-Q4",8.28877,
"AUS","CPI","TOT","AGRWTH","Q","1986-Q1",9.234829,
"AUS","CPI","TOT","AGRWTH","Q","1986-Q2",8.505155,
"AUS","CPI","TOT","AGRWTH","Q","1986-Q3",8.816121,
"AUS","CPI","TOT","AGRWTH","Q","1986-Q4",9.62963,
"AUS","CPI","TOT","AGRWTH","Q","1987-Q1",9.42029,
"AUS","CPI","TOT","AGRWTH","Q","1987-Q2",9.263658,
