"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","SHPRICE","TOT","IDX2015","Q","1970-Q1",6.956951,
"CAN","SHPRICE","TOT","IDX2015","Q","1970-Q2",5.94345,
"CAN","SHPRICE","TOT","IDX2015","Q","1970-Q3",6.106757,
"CAN","SHPRICE","TOT","IDX2015","Q","1970-Q4",6.400685,
"CAN","SHPRICE","TOT","IDX2015","Q","1971-Q1",6.858548,
"CAN","SHPRICE","TOT","IDX2015","Q","1971-Q2",6.920244,
"CAN","SHPRICE","TOT","IDX2015","Q","1971-Q3",6.792133,
"CAN","SHPRICE","TOT","IDX2015","Q","1971-Q4",6.410193,
"CAN","SHPRICE","TOT","IDX2015","Q","1972-Q1",7.628402,
"CAN","SHPRICE","TOT","IDX2015","Q","1972-Q2",7.747633,
"CAN","SHPRICE","TOT","IDX2015","Q","1972-Q3",8.105094,
"CAN","SHPRICE","TOT","IDX2015","Q","1972-Q4",8.25264,
"CAN","SHPRICE","TOT","IDX2015","Q","1973-Q1",8.684861,
"CAN","SHPRICE","TOT","IDX2015","Q","1973-Q2",8.137616,
"CAN","SHPRICE","TOT","IDX2015","Q","1973-Q3",8.53792,
"CAN","SHPRICE","TOT","IDX2015","Q","1973-Q4",8.577044,
"CAN","SHPRICE","TOT","IDX2015","Q","1974-Q1",8.492171,
"CAN","SHPRICE","TOT","IDX2015","Q","1974-Q2",7.301463,
"CAN","SHPRICE","TOT","IDX2015","Q","1974-Q3",6.564876,
"CAN","SHPRICE","TOT","IDX2015","Q","1974-Q4",6.001148,
"CAN","SHPRICE","TOT","IDX2015","Q","1975-Q1",6.917059,
"CAN","SHPRICE","TOT","IDX2015","Q","1975-Q2",7.193669,
"CAN","SHPRICE","TOT","IDX2015","Q","1975-Q3",7.129556,
"CAN","SHPRICE","TOT","IDX2015","Q","1975-Q4",6.660767,
"CAN","SHPRICE","TOT","IDX2015","Q","1976-Q1",7.364252,
"CAN","SHPRICE","TOT","IDX2015","Q","1976-Q2",7.45396,
"CAN","SHPRICE","TOT","IDX2015","Q","1976-Q3",7.269569,
"CAN","SHPRICE","TOT","IDX2015","Q","1976-Q4",6.790692,
"CAN","SHPRICE","TOT","IDX2015","Q","1977-Q1",7.038174,
"CAN","SHPRICE","TOT","IDX2015","Q","1977-Q2",6.990727,
"CAN","SHPRICE","TOT","IDX2015","Q","1977-Q3",7.059723,
"CAN","SHPRICE","TOT","IDX2015","Q","1977-Q4",7.084597,
"CAN","SHPRICE","TOT","IDX2015","Q","1978-Q1",7.130579,
"CAN","SHPRICE","TOT","IDX2015","Q","1978-Q2",7.756001,
"CAN","SHPRICE","TOT","IDX2015","Q","1978-Q3",8.625978,
"CAN","SHPRICE","TOT","IDX2015","Q","1978-Q4",8.821202,
"CAN","SHPRICE","TOT","IDX2015","Q","1979-Q1",9.780096,
"CAN","SHPRICE","TOT","IDX2015","Q","1979-Q2",10.74543,
"CAN","SHPRICE","TOT","IDX2015","Q","1979-Q3",11.63554,
"CAN","SHPRICE","TOT","IDX2015","Q","1979-Q4",11.83725,
"CAN","SHPRICE","TOT","IDX2015","Q","1980-Q1",13.98941,
"CAN","SHPRICE","TOT","IDX2015","Q","1980-Q2",13.72242,
"CAN","SHPRICE","TOT","IDX2015","Q","1980-Q3",15.51802,
"CAN","SHPRICE","TOT","IDX2015","Q","1980-Q4",16.06583,
"CAN","SHPRICE","TOT","IDX2015","Q","1981-Q1",15.66641,
"CAN","SHPRICE","TOT","IDX2015","Q","1981-Q2",16.36268,
"CAN","SHPRICE","TOT","IDX2015","Q","1981-Q3",14.6779,
"CAN","SHPRICE","TOT","IDX2015","Q","1981-Q4",13.50376,
"CAN","SHPRICE","TOT","IDX2015","Q","1982-Q1",11.73036,
"CAN","SHPRICE","TOT","IDX2015","Q","1982-Q2",10.3183,
"CAN","SHPRICE","TOT","IDX2015","Q","1982-Q3",10.75668,
"CAN","SHPRICE","TOT","IDX2015","Q","1982-Q4",12.94929,
"CAN","SHPRICE","TOT","IDX2015","Q","1983-Q1",14.59391,
"CAN","SHPRICE","TOT","IDX2015","Q","1983-Q2",16.75706,
"CAN","SHPRICE","TOT","IDX2015","Q","1983-Q3",17.34255,
"CAN","SHPRICE","TOT","IDX2015","Q","1983-Q4",17.32867,
"CAN","SHPRICE","TOT","IDX2015","Q","1984-Q1",16.90207,
"CAN","SHPRICE","TOT","IDX2015","Q","1984-Q2",15.74723,
"CAN","SHPRICE","TOT","IDX2015","Q","1984-Q3",16.08993,
"CAN","SHPRICE","TOT","IDX2015","Q","1984-Q4",16.55644,
"CAN","SHPRICE","TOT","IDX2015","Q","1985-Q1",18.13885,
